AccX,AccY,AccZ,GyroX,GyroY,GyroZ
900.0,2944.0,16728.0,1740.0,1321.0,331.0
888.0,2952.0,16808.0,1760.0,1341.0,318.0
928.0,2916.0,16716.0,1727.0,1302.0,312.0
896.0,2964.0,16752.0,1707.0,1341.0,367.0
868.0,2940.0,16664.0,1746.0,1286.0,310.0
872.0,3088.0,16636.0,1694.0,1303.0,353.0
908.0,3064.0,16752.0,1743.0,1284.0,311.0
936.0,2984.0,16620.0,1741.0,1300.0,338.0
832.0,3040.0,16696.0,1767.0,1330.0,319.0
804.0,2948.0,16748.0,1741.0,1340.0,307.0
908.0,2948.0,16628.0,1718.0,1332.0,273.0
872.0,3024.0,16744.0,1754.0,1353.0,308.0
