AccX,AccY,AccZ,GyroX,GyroY,GyroZ
1968.0,4584.0,13752.0,-1947.0,3090.0,6970.0
132.0,1888.0,11884.0,-23441.0,6354.0,5293.0
896.0,-20472.0,8224.0,-26715.0,5477.0,-4210.0
1676.0,-30064.0,9448.0,-4339.0,-789.0,-12206.0
2020.0,-24688.0,9796.0,25357.0,-5111.0,-4481.0
3808.0,-16048.0,10300.0,32767.0,-5071.0,4309.0
4256.0,1484.0,11816.0,24296.0,-1193.0,7558.0
2356.0,12644.0,14704.0,-4601.0,3839.0,9976.0
-56.0,-5424.0,12264.0,-24426.0,4522.0,5248.0
2876.0,-22104.0,8876.0,-20414.0,4151.0,-6504.0
1492.0,-26136.0,10212.0,291.0,-750.0,-9917.0
2116.0,-18904.0,10732.0,20690.0,-3829.0,-1102.0
3452.0,-10260.0,11368.0,20935.0,-2887.0,6189.0
3180.0,-440.0,13344.0,6820.0,660.0,5921.0
1776.0,-1856.0,13160.0,-9406.0,2798.0,3785.0
2412.0,-13580.0,10596.0,-12588.0,3813.0,-1721.0
2812.0,-22124.0,9768.0,1094.0,1784.0,-6161.0
2528.0,-19168.0,10532.0,17715.0,-325.0,-1777.0
3332.0,-9984.0,12400.0,19774.0,-63.0,5086.0
2944.0,-1652.0,13736.0,4527.0,3375.0,6977.0
1232.0,0.0,13248.0,-12960.0,5910.0,4551.0
1644.0,-14184.0,9884.0,-14954.0,6542.0,-1242.0
2380.0,-26072.0,9980.0,-1040.0,4082.0,-7636.0
1768.0,-19412.0,11804.0,15767.0,-40.0,-3644.0
2536.0,-9144.0,12784.0,17764.0,230.0,2799.0
2176.0,-816.0,13768.0,6577.0,2545.0,6056.0
1492.0,-3204.0,13036.0,-6770.0,4721.0,3168.0
1640.0,-12968.0,12284.0,-11322.0,5735.0,-2897.0
1008.0,-19416.0,12156.0,-963.0,2800.0,-7003.0
1388.0,-18248.0,12688.0,13216.0,-1542.0,-2528.0
2740.0,-9804.0,13308.0,16448.0,-1106.0,2675.0
2048.0,-336.0,14884.0,2978.0,2216.0,4735.0
680.0,-68.0,13552.0,-13736.0,4843.0,2979.0
1340.0,-13264.0,11092.0,-19963.0,5224.0,-2554.0
