AccX,AccY,AccZ,GyroX,GyroY,GyroZ
4428.0,2352.0,2960.0,32767.0,-25681.0,20580.0
7128.0,3568.0,-13476.0,19077.0,-2365.0,2198.0
-3392.0,-2940.0,-15492.0,-32768.0,20724.0,-25154.0
-17332.0,14996.0,19452.0,-24125.0,17812.0,-27061.0
-15680.0,32767.0,32767.0,5718.0,-2662.0,1015.0
-8056.0,22432.0,18672.0,27013.0,-25791.0,21245.0
2720.0,-2896.0,-14132.0,27180.0,-13237.0,14195.0
3504.0,84.0,-28956.0,-19472.0,15251.0,-4278.0
-13596.0,11984.0,11316.0,-20874.0,22985.0,-21561.0
-16936.0,32180.0,32767.0,-1055.0,4244.0,3277.0
-5164.0,27168.0,31304.0,27895.0,-18906.0,20889.0
4544.0,-760.0,-1272.0,31482.0,-19431.0,21732.0
-1292.0,4076.0,-17944.0,-2896.0,991.0,3122.0
-8120.0,3864.0,2200.0,-13373.0,11994.0,-16039.0
-15028.0,28236.0,26112.0,6291.0,-874.0,133.0
-4384.0,32624.0,25624.0,25642.0,-18032.0,19496.0
756.0,7480.0,1388.0,28896.0,-21351.0,22479.0
8024.0,-4632.0,-19020.0,7203.0,-3544.0,3786.0
7196.0,1584.0,-11464.0,-18732.0,19715.0,-22100.0
-8964.0,29396.0,17564.0,-26807.0,18538.0,-22483.0
-9648.0,32600.0,29208.0,-1252.0,-187.0,-1145.0
-2820.0,25956.0,18616.0,23846.0,-17047.0,17917.0
4172.0,3584.0,-10860.0,16478.0,-13218.0,16326.0
8916.0,-1112.0,-25492.0,-16353.0,10201.0,-5421.0
-7208.0,3252.0,-576.0,-24906.0,22242.0,-23514.0
-14236.0,24196.0,23444.0,-9358.0,12052.0,-10199.0
-1316.0,30204.0,24940.0,9834.0,-6617.0,9124.0
-764.0,16012.0,9904.0,16676.0,-13696.0,17034.0
3956.0,12928.0,-3580.0,623.0,-9412.0,12707.0
5516.0,7244.0,-6000.0,-15337.0,2154.0,422.0
-396.0,5420.0,-1320.0,-14413.0,9907.0,-7507.0
-2392.0,16936.0,8676.0,-16358.0,10498.0,-6780.0
-1248.0,19992.0,10316.0,-29521.0,7339.0,-6007.0
-1328.0,9460.0,8892.0,-32768.0,6960.0,-8238.0
-1752.0,5756.0,7580.0,-31000.0,7991.0,-7394.0
-4940.0,264.0,10020.0,-17003.0,7545.0,-7021.0
-8352.0,7960.0,14820.0,-3393.0,5536.0,-5652.0
-6684.0,18060.0,18344.0,-3051.0,2828.0,-576.0
-5056.0,21196.0,20132.0,-8398.0,-116.0,2144.0
-5932.0,9948.0,19708.0,-4891.0,-3429.0,1883.0
-4292.0,6508.0,17572.0,4253.0,-8296.0,4452.0
-1780.0,11552.0,11428.0,877.0,-9650.0,3833.0
1668.0,17300.0,6200.0,-19730.0,-976.0,1747.0
3488.0,9936.0,4076.0,-31812.0,12779.0,1222.0
-12.0,-184.0,17336.0,-19692.0,20298.0,298.0
-2572.0,5348.0,25508.0,-10072.0,18336.0,-11.0
-9704.0,13216.0,32767.0,-9122.0,6779.0,3867.0
-10456.0,6916.0,32767.0,-8563.0,-7183.0,3284.0
-7632.0,-548.0,29952.0,3945.0,-18379.0,3663.0
-7260.0,3748.0,19068.0,16831.0,-25183.0,3064.0
-5444.0,7492.0,4448.0,8764.0,-22827.0,4416.0
796.0,5872.0,-2648.0,-9454.0,-10703.0,4338.0
2876.0,3540.0,-5484.0,-24623.0,3837.0,2763.0
472.0,240.0,-5476.0,-31298.0,17234.0,1139.0
-4692.0,-3096.0,992.0,-25287.0,27452.0,814.0
-8464.0,-3720.0,13764.0,-17363.0,32148.0,783.0
-12928.0,-1212.0,24336.0,-13770.0,28637.0,2465.0
-13096.0,88.0,27064.0,-13563.0,16033.0,2268.0
-11468.0,-3600.0,29992.0,-14458.0,3801.0,-1887.0
-8280.0,-5364.0,26212.0,-10567.0,-4931.0,-1007.0
-8516.0,-4128.0,19208.0,-2634.0,-11208.0,-2877.0
-7592.0,-2132.0,14772.0,4676.0,-13888.0,-2328.0
-4544.0,-484.0,12072.0,11203.0,-14376.0,-1029.0
-2392.0,452.0,10256.0,14437.0,-12259.0,100.0
208.0,-504.0,6272.0,15202.0,-7434.0,846.0
1632.0,256.0,3680.0,14761.0,-749.0,2079.0
1640.0,1700.0,8068.0,8951.0,5995.0,2260.0
308.0,1280.0,15600.0,1835.0,13030.0,1969.0
-2276.0,2036.0,22716.0,-3960.0,17277.0,2274.0
-4856.0,-632.0,23516.0,-6820.0,15838.0,2267.0
-6356.0,-2096.0,23068.0,-7590.0,9530.0,1007.0
-7108.0,-5480.0,23196.0,-2741.0,1696.0,-607.0
-5704.0,-3928.0,21092.0,2323.0,-2176.0,-1772.0
-5088.0,-5252.0,18820.0,7050.0,-5190.0,-2201.0
-4296.0,-2788.0,16224.0,12235.0,-6225.0,-2573.0
-3212.0,1908.0,13244.0,12312.0,-5490.0,-1984.0
-2756.0,3248.0,10928.0,8251.0,-3345.0,-1597.0
-1724.0,3544.0,10724.0,2874.0,138.0,-1341.0
-2404.0,2840.0,13556.0,-2124.0,3860.0,-491.0
-3040.0,1540.0,17624.0,-5078.0,6732.0,624.0
-4088.0,-752.0,20244.0,-4608.0,6972.0,1551.0
-5300.0,-2024.0,21208.0,-5238.0,3128.0,1576.0
-5416.0,-3408.0,18320.0,-2394.0,-620.0,-217.0
-5148.0,-3552.0,17264.0,2423.0,-2489.0,-1916.0
-4636.0,-1276.0,15036.0,6006.0,-3737.0,-2425.0
-2972.0,76.0,12532.0,7157.0,-3161.0,-2261.0
-2380.0,1612.0,11784.0,6045.0,-443.0,-1549.0
-2068.0,2668.0,14740.0,2205.0,3088.0,-864.0
-2364.0,1648.0,19440.0,-1410.0,5982.0,912.0
-3644.0,-284.0,20124.0,-2183.0,5802.0,2064.0
-5328.0,-1372.0,20036.0,-3434.0,2275.0,2415.0
-5564.0,-3320.0,19404.0,-780.0,-246.0,-165.0
-5088.0,-2632.0,17944.0,2850.0,-1809.0,-1182.0
-3684.0,-972.0,14584.0,5816.0,-1810.0,-969.0
-3004.0,248.0,12176.0,6474.0,48.0,-393.0
-2336.0,1528.0,11340.0,5021.0,3402.0,-92.0
-2896.0,1472.0,17168.0,241.0,6262.0,562.0
-4200.0,-208.0,21152.0,-1340.0,7674.0,1540.0
-5780.0,-1540.0,20456.0,-1403.0,5060.0,1958.0
-6004.0,-2064.0,18364.0,-1081.0,393.0,1263.0
-6060.0,-3400.0,16992.0,1345.0,-2642.0,-774.0
-4280.0,-2276.0,14376.0,5664.0,-3384.0,-2007.0
-2872.0,-56.0,12400.0,6528.0,-2143.0,-1896.0
-2528.0,1180.0,12848.0,5048.0,558.0,-1587.0
-2988.0,1640.0,17864.0,302.0,3289.0,-348.0
-4664.0,244.0,20304.0,-3975.0,3955.0,645.0
-5580.0,-3696.0,17376.0,-5244.0,1078.0,388.0
-4976.0,-5272.0,14524.0,-1757.0,-2216.0,-1181.0
-4564.0,-6016.0,13596.0,4595.0,-3404.0,-4435.0
-4040.0,-4024.0,12000.0,9584.0,-3084.0,-5159.0
-3724.0,-1076.0,10372.0,9794.0,-1524.0,-5159.0
-4208.0,-464.0,12404.0,7671.0,1320.0,-4955.0
-5408.0,-1360.0,13684.0,4850.0,3678.0,-5567.0
-6004.0,-2924.0,12136.0,2841.0,3050.0,-6114.0
-7488.0,-5068.0,10748.0,6207.0,-507.0,-7155.0
-8240.0,-5044.0,8404.0,15154.0,-3911.0,-9554.0
-6296.0,-708.0,10096.0,21724.0,-4545.0,-10888.0
-3352.0,3972.0,11244.0,22930.0,-3415.0,-9504.0
-1500.0,5580.0,12076.0,22087.0,-805.0,-11695.0
-1992.0,8156.0,13604.0,19673.0,1314.0,-10016.0
-2568.0,8068.0,14972.0,17569.0,2475.0,-8880.0
-2172.0,10556.0,15480.0,13609.0,3665.0,-8301.0
-2188.0,11324.0,16172.0,11589.0,4454.0,-8248.0
-2372.0,13336.0,17480.0,10304.0,4357.0,-5640.0
-2188.0,13732.0,18752.0,6446.0,5089.0,-4265.0
-2640.0,12140.0,21928.0,1277.0,3914.0,-1624.0
-3532.0,18328.0,22824.0,-9624.0,1507.0,3366.0
